ISIN,PARENT ID,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,Return On Asset,Return On Equity,Total Debt to Asset,WACC Cost of Debt,Issuer Credit Rating,Market of Issue,Country of Issue,Sector,Use of Proceeds,Principal Currency,Maturity,Issue Date,Coupon,Amount Issued (USD),Preferred RIC,Issuer
KR6003492B76,4295881084,75.89,65.53,83.35,76.3,6.89,-7.22,0.47,0.05,AA-,Domestic,South Korea,Airline,Clean Transport,South Korean Won,07/07/2023,07/07/2021,3.14,97670276,KR6003492B7=,Korean Air Lines Co Ltd
JP341475AL72,4295879777,81.56,88.86,78.89,80.24,4.76,5.63,0.19,0.01,AA-,Domestic,Japan,Electronics,Circular Economy,Japanese Yen,14/07/2023,16/07/2020,0.02,68203519,JP00206724=,Seiko Epson Corp
COB07CB00603,4295865713,69.13,67.07,78.43,57.14,1.88,1.03,0.11,0.06,BB+,Domestic,Colombia,Banking,Energy Efficiency,Colombian Peso,18/07/2023,18/07/2018,12.91,28837035,COB07CB00603=INFV,Bancolombia SA
ARPAMP5600C6,4295856141,60.35,47.96,52.2,92.02,3.6,-26.75,0.38,0.05,Caa3,Domestic,Argentina,Utility ,Climate Change Adaptation,Argentinian Peso,18/07/2023,18/01/2022,48.02,19500866,ARMGC8Z3=BA,Pampa Energia SA
TH0646033702,5035526557,74.02,92.73,77.32,40.7,4.83,4.27,0.32,0.05,A+,Domestic,Thailand,Oil and Gas,Eligible Green Projects,Thai Baht,24/07/2023,24/07/2020,2.25,53648068,PTTC237A=TS,PTT PCL
US41068XAD21,5038068972,82.68,92.99,69.69,82.86,4.1,10.98,0.6,0.07,A+,Domestic,United States,Real Estate,Energy Efficiency,US Dollar,15/08/2023,21/08/2020,0,143750000,41068XAD2=,Hannon Armstrong
SE0014731071,5045821131,14.27,28.09,8.21,7.59,11.7,34.11,0.62,0.06,A+,Domestic,Sweden,Financial ,Energy Efficiency,Swedish Krona,28/08/2023,28/08/2020,5.22,36928985,SE0014731071=,K2A Knaust & Andersson Fastigheter AB (publ)
SE0011062942,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,30/08/2023,30/08/2018,2.35,64625724,SE0011062942=,Fabege AB
SE0011062959,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Green Construction,Swedish Krona,30/08/2023,30/08/2018,1.5,27696739,SE0011062959=,Fabege AB
JP336270AJ81,4295880537,60.87,66.08,71.13,41.28,23.75,17.41,0.37,0.01,AA-,Domestic,Japan,Transportation ,Clean Transport,Japanese Yen,30/08/2023,30/08/2018,0.42,34101759,JP00209104=,Mitsui O.S.K. Lines Ltd
JP336270AJ99,4295880537,60.87,66.08,71.13,41.28,23.75,17.41,0.37,0.01,AA-,Domestic,Japan,Transportation ,Clean Transport,Japanese Yen,08/09/2023,10/09/2018,0.42,34101759,JP00219104=,Mitsui O.S.K. Lines Ltd
XS1879525654,4295876942,46.27,40.34,52.15,44.78,9.24,9.15,0.23,0.01,BBB,Eurobond,European Union,Home Builders,Climate Change Adaptation,Japanese Yen,27/09/2023,27/09/2018,0,68203519,JP187952565=,SumitomoForestry
SE0011643246,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,03/10/2023,03/04/2019,3.31,36928985,SE0011643246=,Fabege AB
JP342495AJA4,4295875997,27.31,22.1,31.1,24.18,2.76,8.7,0.75,0.01,BBB,Domestic,Japan,Leasing,Renewable Energy,Japanese Yen,13/10/2023,15/10/2018,0.2,68203519,JP00258439=,Tokyo Century Corp
JP387040BJA2,4295880536,56.49,16.01,63.75,62.67,3.4,0.8,0.57,0.01,AA-,Domestic,Japan,Retail Stores ,Energy Efficiency,Japanese Yen,25/10/2023,25/10/2018,0.19,68203519,JP00348252=,Marui Group Co Ltd
JP319000AJA1,4295880610,74.86,85.27,76.27,58.36,3.23,11.3,0.12,0.01,AA-,Domestic,Japan,Building Products,Energy Efficiency,Japanese Yen,25/10/2023,25/10/2018,0.13,68203519,JP00231802=,Obayashi Corp
JP302768AJB0,4295878402,47.58,74.09,33.85,29.55,3.4,6.29,0.42,0.01,BBB,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,01/11/2023,01/11/2018,0.23,68203519,JP00128952=,Japan Real Estate Investment Corp
SE0013883295,4295890203,43.75,48.88,37.49,45.67,2.3,5.89,0.52,0.04,BB,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,03/11/2023,03/11/2021,2.21,45195160.73,SE0013883295=,Fastighets AB Balder
TH0637033B00,4295893366,57.37,56.21,58.59,57.78,5.13,10.43,0.39,0.06,BBB,Domestic,Thailand,Utility ,Clean Transport,Thai Baht,04/11/2023,04/11/2020,1.32,26824034,RATCH23NA=TS,Ratch Group PCL
TH0221033B03,4295892710,73.4,59.11,96.42,55.23,1.48,7.95,0.6,0.06,BBB,Domestic,Thailand,Transportation ,Clean Transport,Thai Baht,06/11/2023,06/11/2020,2.44,107066381,THBTSG23NA=,BTS Group Holdings PCL
FR0013048196,4295867555,89.06,92.93,90.27,83.41,3,6.38,0.34,0.04,BBB,Domestic,France,Real Estate,Eligible Green Projects,Euro,06/11/2023,06/11/2015,3,100190361,FR0013048196=,Gecina SA
SE0015962154,5000037373,34.1,33.61,40.43,27.62,10.2,-1.4,0.52,0.06,A+,Domestic,Sweden,Service ,Clean Transport,Swedish Krona,27/11/2023,27/05/2021,3.77,83090217,SE0015962154=,Corem Property Group AB
JP350220AJB3,4295880501,79,88.14,67.44,86.02,0.23,8.46,0.54,0,AA-,Domestic,Japan,Securities,Energy Efficiency,Japanese Yen,29/11/2023,29/11/2018,0.23,68203519,JP00328601=,Daiwa Securities Group Inc
JP338645ALC2,5000472343,62.43,73.12,60.24,50.65,3.1,4.9,0.33,0.01,A+,Domestic,Japan,Oil and Gas,Economic Development,Japanese Yen,01/12/2023,01/12/2020,0.02,102305278,JP03015020=,ENEOS Holdings Inc
JP378660AK21,4295878091,57.44,68.46,47.19,67.15,1.25,7,0.79,0,BBB,Domestic,Japan,Leasing,Renewable Energy,Japanese Yen,20/12/2023,28/02/2019,0.21,68203519,JP00778586=,Mitsubishi HC Capital Inc
JP362700AJC8,4295878014,41.01,68.18,24.66,25.49,2.73,8.62,0.24,0,BBB,Domestic,Japan,Building Products,Energy Efficiency,Japanese Yen,21/12/2023,21/12/2018,0.25,34101759,JP00041860=,Toda Corp
INE528G08360,4295873396,63.58,61.73,58.03,71.95,0.44,-12.73,0.23,0.06,BBB,Domestic,India,Banking,Infrastructure,Indian Rupee,29/12/2023,29/12/2016,7.62,40340325,INYESB2923=,Yes Bank Ltd
SE0011870567,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Foreign,Sweden,Banking,Energy Efficiency,Swedish Krona,10/01/2024,10/01/2019,0,1081096,SE0011870567=,BNP Paribas SA
KR6004021B17,4295881064,76.17,87.25,75.26,61.78,4.12,8.54,0.35,0.05,AA-,Domestic,South Korea,Metals/Mining,Energy Efficiency,South Korean Won,25/01/2024,25/01/2021,1.22,93361293,KR6004021B1=,Hyundai Steel Co
KR6005381B26,4295881548,64.04,76.18,67.58,41.01,3.55,2.04,0.46,0.05,AA-,Domestic,South Korea,Automotive,Clean Transport,South Korean Won,09/02/2024,09/02/2021,1.21,107724569,KR6005381B2=,Hyundai Motor Co
COB01CB00143,4295865697,46.01,59.25,67.5,11.11,1.9,18.81,0.2,0.06,BB+,Domestic,Colombia,Banking,Eligible Green Projects,Colombian Peso,10/02/2024,10/02/2021,3.4,41144200,COB01CB00143=PIPC,Banco de Bogota SA
SE0012256741,5044034256,64.12,80.41,76.72,34.5,-0.05,3.95,0.4,0.04,A+,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,14/02/2024,14/02/2019,4.79,46161231,SE0012256741=,Samhallsbyggnadsbolaget I Norden AB
SE0013359759,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,21/02/2024,21/08/2020,2.62,46161231,SE0013359759=,Fabege AB
SE0013359767,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,21/02/2024,21/08/2020,1.36,46161231,SE0013359767=,Fabege AB
KR6034731B23,5000049504,70.13,62.23,68.64,84.36,3.07,1.11,0.38,0.05,A+,Domestic,South Korea,Information Technology,Renewable Energy,South Korean Won,24/02/2024,24/02/2021,1.24,43089827,KR6034731B2=,SK Inc
SE0012011864,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Foreign,Sweden,Banking,Energy Efficiency,Swedish Krona,29/02/2024,01/03/2019,0,933380,SE0012011864=,BNP Paribas SA
KR6000271B38,4295882081,65.42,83.86,60.86,47.37,8.17,5.05,0.14,0.06,AA-,Domestic,South Korea,Automotive,Clean Transport,South Korean Won,03/03/2024,03/03/2021,1.3,71816379,KR6000271B3=,Kia Corp
KR6003451B34,4295881997,16.08,21.03,27.88,9.99,1.4,8.87,0.19,0,AA-,Domestic,South Korea,Securities,Eligible Green Projects,South Korean Won,04/03/2024,04/03/2021,1.31,78998017,KR6003451B3=,KB Securities Co Ltd
NZMELDT024C2,4296705325,53.08,62.99,46.08,45.32,4.25,4.5,0.13,0.05,A+,Domestic,New Zealand,Utility ,General Purpose,New Zealand Dollar,20/03/2024,20/03/2017,4.88,89069931,NZMEL0324=,Meridian Energy Ltd
FR0013245859,4295866806,77.42,66.66,86.91,83.2,2.57,5.86,0.18,0.03,BBB+,Domestic,France,Oil and Gas,Clean Transport,Euro,27/03/2024,27/03/2017,0.88,701332531,FR0013245859=,Engie SA
FI4000496294,4295866518,68.69,71.85,75.11,54.53,4.15,4.24,0.25,0.05,BB,Domestic,Finland,Building Products,Climate Change Adaptation,Euro,31/03/2024,31/03/2021,4.29,100190361,FI4000496294=,YIT Oyj
SE0011869767,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,02/04/2024,02/04/2019,3.37,46161231,SE0011869767=,Atrium Ljungberg AB
SE0014956454,5044714542,39.14,24.97,36.14,56.14,1.3,23.82,0.3,0,A+,Domestic,Sweden,Service ,Eligible Green Projects,Swedish Krona,02/04/2024,02/10/2020,9.39,50777355,SE0014956454=,Magnolia Bostad AB
SE0012194116,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Foreign,Sweden,Banking,Energy Efficiency,Swedish Krona,04/04/2024,04/04/2019,0,766276,SE0012194116=,BNP Paribas SA
SE0013104205,5000037373,21.58,13.49,17.33,34.09,4.1,9.1,0.52,0,A+,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,16/04/2024,16/10/2020,4.26,184644927,SE0013104205=,Corem Kelly AB
US49374JAB98,4295882081,65.42,83.86,60.86,47.37,8.17,5.05,0.14,0.06,AA-,Foreign,United States,Automotive,Clean Transport,US Dollar,16/04/2024,16/04/2021,1,300000000,49374JAB9=,Kia Corp
USY4760JAB99,4295882081,65.42,83.86,60.86,47.37,8.17,5.05,0.14,0.06,AA-,Eurobond,European Union,Automotive,Clean Transport,US Dollar,16/04/2024,16/04/2021,1,300000000,KR233320030=,Kia Corp
KR6204321B44,5043463814,66.26,58.76,63.13,82.09,4.26,12.73,0.38,0.05,A+,Domestic,South Korea,Vehicle Parts,Clean Transport,South Korean Won,22/04/2024,22/04/2021,1.46,136451121,KR6204321B4=,HL Mando Corp
SE0013883006,4295889919,59,55.53,67.04,53.51,-0.3,2.38,0.42,0.05,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,26/04/2024,26/04/2021,2.16,18464492,SE0013883006=,Wallenstam AB
KR6012451B43,4295881202,52.51,83.34,41.25,45.18,1.96,12.73,0.25,0.05,AA-,Domestic,South Korea,Electronics,Eligible Green Projects,South Korean Won,28/04/2024,28/04/2021,1.62,186722587,KR6012451B4=,Hanwha AeroSpace Co Ltd
SE0015192521,5000037373,34.1,33.61,40.43,27.62,10.2,-1.4,0.52,0.06,A+,Domestic,Sweden,Service ,Energy Efficiency,Swedish Krona,29/04/2024,29/10/2020,4.87,78474094,SE0015192521=,Corem Property Group AB
KR6000881B55,4295881078,47.6,25,37.69,66.7,0.87,12.73,0.11,0.05,AA-,Domestic,South Korea,Chemicals,Clean Transport,South Korean Won,07/05/2024,07/05/2021,1.68,61043922,KR6000881B5=,Hanwha Corp
SE0012454841,4295882985,73.47,38.51,82.63,81.89,0.5,-15.39,0.59,0,AA-,Foreign,Sweden,Telecommunications,Energy Efficiency,Swedish Krona,15/05/2024,15/05/2019,3.84,184644927,SE0012454841=,Millicom International Cellular SA
SE0012350973,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Foreign,Sweden,Banking,Energy Efficiency,Swedish Krona,17/05/2024,16/05/2019,0,412100,SE0012350973=ST,BNP Paribas SA
TH0221034505,4295892710,73.4,59.11,96.42,55.23,1.48,7.95,0.6,0.06,BBB,Domestic,Thailand,Transportation ,Clean Transport,Thai Baht,24/05/2024,24/05/2019,3.15,80299785,THBTSG245A=,BTS Group Holdings PCL
SE0013360278,5045821131,14.27,28.09,8.21,7.59,11.7,13.81,0.62,0.06,A+,Domestic,Sweden,Financial ,Energy Efficiency,Swedish Krona,01/06/2024,01/06/2021,4.52,36928985,SE0013360278=,K2A Knaust & Andersson Fastigheter AB (publ)
SE0013882891,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,17/06/2024,17/03/2021,2.31,23080615,SE0013882891=,Fabege AB
KR6009831B65,4295881065,58.64,56.79,59.94,59.71,3.3,12.73,0.32,0.05,AA-,Domestic,South Korea,Chemicals,Energy Efficiency,South Korean Won,17/06/2024,17/06/2021,1.7,50271465,KR6009831B6=,Hanwha Solutions Corp
SE0011869759,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,22/06/2024,22/03/2019,3.42,23080615,SE0011869759=,Fabege AB
JP303971AK64,4295878450,37.69,63.28,28.93,16.06,3.06,4.81,0.44,0.01,A-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,25/06/2024,25/06/2019,0.2,47742463,JP00138953=,Japan Metropolitan Fund Investment Corp
KR6028671B68,5037850198,24.15,3.32,6.47,72.11,10.72,12.73,0.51,0.07,A+,Domestic,South Korea,Transportation ,Aquatic Biodiversity,South Korean Won,25/06/2024,25/06/2021,2.15,35908189,KR6028671B6=,Pan Ocean Co Ltd
PHY2292TAC63,4297882879,45.52,34.18,49.31,59.88,4.04,14.26,0.32,0,A+,Domestic,Philippines,Utility ,Energy Efficiency,Philippine Peso,25/06/2024,25/06/2021,2.86,42771599,PHEDCXX0624=,Energy Development Corp
KR6003493B75,4295881084,75.89,65.53,83.35,76.3,6.89,-7.22,0.47,0.05,AA-,Domestic,South Korea,Airline,Clean Transport,South Korean Won,05/07/2024,07/07/2021,3.67,103415587,KR6003493B7=,Korean Air Lines Co Ltd
SE0013719788,4298008633,60.23,61.22,55.5,64.47,13.2,12.73,0.37,0.06,A+,Domestic,Sweden,Service ,Clean Transport,Euro,08/07/2024,08/07/2021,6.25,45085662,SE0013719788=,Eastnine AB (publ)
KR6012335B78,4295881489,67.06,61.1,79.65,53.94,4.76,12.73,0.07,0.05,AA-,Domestic,South Korea,Vehicle Parts,Clean Transport,South Korean Won,09/07/2024,09/07/2021,1.59,107724569,KR6012335B7=,Hyundai Mobis Co Ltd
JP304088AK70,4295878495,37.67,68.98,25.59,12.49,4.1,12.73,0.43,0.01,AA-,Domestic,Japan,Real Estate,Energy Efficiency,Japanese Yen,18/07/2024,18/07/2019,0.22,47742463,JP00138954=,Orix JREIT Inc
NZCEND0050L0,4295885081,54.09,51.01,50.7,63.71,4.89,6.74,0.21,0.05,AA-,Domestic,New Zealand,Utility ,Other,New Zealand Dollar,15/08/2024,01/03/2019,3.55,59379954,NZCEN0824=,Contact Energy Ltd
TH3545034805,4298077124,57.37,57.14,60.61,53.53,8.56,20.34,0.53,0.03,A+,Domestic,Thailand,Oil and Gas,Energy Efficiency,Thai Baht,15/08/2024,15/08/2019,3.11,40236051,EA248A=TS,Energy Absolute PCL
SE0011643311,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,21/08/2024,21/05/2019,1.67,46161231,SE0011643311=,Atrium Ljungberg AB
SE0011643303,4295890093,42.83,50.81,43.47,34.41,6,5.8,0.48,0.04,BB,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,21/08/2024,21/05/2019,2.67,27696739,SE0011643303=,Atrium Ljungberg AB
FR0013405537,8589934326,94.61,94.13,95.92,93.01,0.41,6.7,0.06,0.03,A+,Domestic,France,Banking,Energy Efficiency,Euro,28/08/2024,28/02/2019,1.13,751427712,FR0013405537=,BNP Paribas SA
SE0014808820,5047820438,43.41,39.15,26.09,66.56,9.7,12.73,0.54,0.07,A+,Domestic,Sweden,Service ,Clean Transport,Swedish Krona,09/09/2024,09/09/2020,5.92,36928985,SE0014808820=,Genova Property Group AB
SE0012676484,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,General Purpose,Swedish Krona,10/09/2024,10/09/2019,2.65,46161231,SE0012676484=,Fabege AB
JP321580AK93,4295876888,47.84,67.05,33.43,38.34,5,4.63,0.18,0,BBB,Domestic,Japan,Chemicals,Environmentally Products,Japanese Yen,12/09/2024,12/09/2019,0.11,34101759,JP00074118=,Kaneka Corp
JP389320AK95,4295880542,58.64,86.3,60.9,29.41,2.83,6.59,0.45,0.01,AA-,Domestic,Japan,Service ,Energy Efficiency,Japanese Yen,12/09/2024,12/09/2019,0.09,341017596,JP00688801=,Mitsui Fudosan Co Ltd
KR6034221B95,4295882602,74.58,73.82,79.14,70.62,-3.94,-0.8,0.33,0.05,AA-,Domestic,South Korea,Electronics,Circular Economy,South Korean Won,14/09/2024,14/09/2021,2.29,208267501,KR6034221B9=,LG Display Co Ltd
FR0013534518,4296004552,75.18,95.1,72.2,43.59,4,4.28,0.02,0.03,BBB,Domestic,France,Utility ,Energy Efficiency,Euro,14/09/2024,14/09/2020,0,2404568669,FR0013534518=,E.D.F.
TH7411034906,4295892862,37.95,38.67,44.65,28,3.77,10.07,0.44,0.07,BBB,Domestic,Thailand,Utility ,Eligible Green Projects,Thai Baht,15/09/2024,15/09/2021,1.64,52728710,BCPG249A=TS,BCPG PCL
SE0013882883,4295889872,82.95,85.76,85.69,77.22,3.05,3.61,0.36,0.04,BB-,Domestic,Sweden,Home Builders,Eligible Green Projects,Swedish Krona,17/10/2024,17/03/2021,0.93,13848369,SE0013882883=,Fabege AB
SE0017132681,5000037373,34.1,33.61,40.43,27.62,10.2,-1.4,0.52,0.06,A+,Domestic,Sweden,Service ,Energy Efficiency,Swedish Krona,21/10/2024,21/01/2022,4.03,216957790,SE0017132681=,Corem Property Group AB
SE0013883287,5000471391,29.41,14.54,40.17,31.96,8.4,4.29,0.46,0.06,A+,Domestic,Sweden,Real Estate,Climate Change Adaptation,Swedish Krona,01/11/2024,01/11/2021,2.74,36928985,SE0013883287=,Platzer Fastigheter Holding AB (publ)
ES0305079008,5043378579,80.71,76.65,90.81,77.24,4.2,12.73,0.13,0.05,A+,Domestic,Spain,Utility ,Energy Efficiency,Euro,08/11/2024,08/11/2019,4.75,22041879,ES30507900=,Grenergy Renovables SA
SE0013883303,4295889799,52.21,62.69,59.57,34,10.6,10.55,0.5,0.06,BB-,Domestic,Sweden,Financial ,Climate Change Adaptation,Swedish Krona,18/11/2024,18/11/2021,2.96,46161231,SE0013883303=,Dios Fastigheter AB
SE0016798227,5044199177,32.48,42.72,29.34,24.1,6.4,12.73,0.26,0.06,A+,Domestic,Sweden,Home Builders,Energy Efficiency,Swedish Krona,23/11/2024,23/11/2021,5.81,46161231,SE0016798227=,Wastbygg Gruppen AB (publ)
JP373480BKB2,4295876533,64.28,86.11,56.46,48.35,6.97,11.13,0.22,0,BBB,Domestic,Japan,Electronics,Capital expenditure,Japanese Yen,28/11/2024,28/11/2019,0.09,204610557,JP00106594=,Nidec Corp
SE0013103801,4295890020,71.18,58.62,65.19,89.92,15.4,6.53,0.52,0,BB-,Domestic,Sweden,Home Builders,Clean Transport,Swedish Krona,06/12/2024,06/12/2019,2.52,18464492,SE0013103801=,Kungsleden AB
